id,nom,prenom,email,date_naissance,pays,code_postal,chiffre_affaires_total,nb_projets,dernier_contact
27,Diallo,Lina,linadiallo@domain.com,,FR,01300,4428.0,19,
28,Diallo,Awa,awa.diallo@yahoo.com,,MA,75000,11835.0,14,
29,Nguyen,Marie,marie.nguyen@outlook.com,,FR,01300,10504.0,9,
30,Benali,Sophie,sophie.benaliyahoo.com,,FR,75000,2679.0,2,
31,Dupont,Marie,marie.dupont@yahoo.com,,FR,31000,2214.0,16,
32,Durand,Paul,paul.durand@gmail.com,,TN,31000,6848.0,6,
33,Leroy,Paul,paul.leroy@yahoo.com,,FR,01300,11061.0,7,2024-10-01
35,Moreau,Paul,paul.moreau@gmail.com,,FR,01300,13852.0,4,
36,Moreau,Amine,amine.moreau@gmail.com,,FR,31000,14826.0,14,2024-10-01
37,Petit,Sophie,sophie.petit@outlook.com,,TN,31000,1715.0,8,
38,Dupont,Sophie,sophie.dupont@yahoo.com,,DZ,01300,6195.0,11,2024-10-01
39,Diallo,Paul,paul.diallo@domain.com,,FR,75000,8710.0,6,2024-10-01
40,Dupont,Karim,karim.dupont@yahoo.com,,TN,75000,14252.0,8,
41,Moreau,Marie,marie.moreau@gmail.com,,TN,75000,8676.0,13,
42,Durand,Lucas,lucas.durand@yahoo.com,,FR,16000,1269.0,3,
43,Moreau,Amine,aminemoreau@domain.com,,FR,75000,11119.0,8,
44,Durand,Sophie,sophie.durand@outlook.com,,TN,75000,10930.0,3,2024-10-01
46,Martin,Paul,paul.martin@outlook.com,,TN,01300,9798.0,14,2024-10-01
47,Benali,Claire,claire.benali@domain.com,,FR,16000,1152.0,8,
48,Leroy,Karim,karim.leroy@outlook.com,,FR,16000,3178.0,11,2024-10-01
51,Haddad,Amine,aminehaddad@domain.com,,FR,16000,9519.0,3,2024-10-01
52,Haddad,Karim,karim.haddad@yahoo.com,,FR,16000,8183.0,9,
53,Leroy,Sophie,sophie.leroyoutlook.com,,TN,31000,11410.0,9,2024-10-01
54,Moreau,Awa,awa.moreau@domain.com,,DZ,31000,2968.0,19,
56,Diallo,Karim,karimdiallo@domain.com,,TN,75000,1609.0,4,
57,Benali,Claire,clairebenali@outlook.com,,FR,75000,4082.0,10,2024-10-01
58,Martin,Claire,claire.martinyahoo.com,,FR,16000,4640.0,19,
59,Benali,Claire,claire.benali@yahoo.com,,MA,75000,4303.0,5,2024-10-01
61,Dupont,Jean,jean.dupont@outlook.com,,DZ,16000,6006.0,20,
62,Dupont,Paul,paul.dupontdomain.com,,DZ,75000,8796.0,20,
63,Dupont,Amine,amine.dupontoutlook.com,,FR,16000,1696.0,0,2024-10-01
64,Durand,Claire,claire.durand@domain.com,,MA,01300,9642.0,7,
65,Dupont,Sophie,sophiedupont@gmail.com,,MA,31000,3468.0,17,
66,Martin,Lucas,lucas.martin@outlook.com,,FR,75000,7165.0,6,2024-10-01
67,Dupont,Lucas,lucas.dupont@outlook.com,,FR,01300,3267.0,17,
68,Diallo,Jean,jean.diallo@domain.com,,FR,31000,6423.0,8,
69,Martin,Lina,linamartin@yahoo.com,,DZ,16000,6582.0,9,
70,Haddad,Marie,marie.haddad@domain.com,,TN,75000,13188.0,14,
71,Leroy,Awa,awa.leroy@outlook.com,,FR,75000,5547.0,3,2024-10-01
72,Benali,Lucas,lucas.benali@outlook.com,,MA,01300,12566.0,16,2024-10-01
73,Dupont,Awa,awa.dupont@outlook.com,,FR,16000,13351.0,11,
74,Martin,Lucas,lucasmartin@outlook.com,,DZ,31000,13833.0,20,
75,Haddad,Lina,lina.haddad@gmail.com,,FR,01300,14907.0,3,2024-10-01
76,Haddad,Paul,paul.haddad@outlook.com,,FR,75000,8456.0,20,
77,Leroy,Karim,karim.leroy@yahoo.com,,TN,16000,2311.0,11,2024-10-01
78,Moreau,Claire,claire.moreau@yahoo.com,,MA,16000,8498.0,6,2024-10-01
79,Martin,Claire,claire.martin@domain.com,,TN,16000,6731.0,19,2024-10-01
80,Nguyen,Awa,awa.nguyen@yahoo.com,,DZ,75000,6716.0,16,
81,Leroy,Lina,lina.leroy@domain.com,,DZ,16000,1591.0,18,
82,Leroy,Paul,paul.leroydomain.com,,FR,01300,8788.0,0,2024-10-01
83,Martin,Marie,marie.martin@outlook.com,,TN,01300,12242.0,15,2024-10-01
84,Durand,Lina,linadurand@yahoo.com,,DZ,16000,10487.0,16,
85,Haddad,Amine,amine.haddad@domain.com,,MA,16000,14811.0,4,
86,Durand,Sophie,sophie.durand@gmail.com,,MA,75000,9583.0,19,
87,Leroy,Jean,jeanleroy@gmail.com,,TN,16000,11684.0,8,
88,Durand,Amine,amine.durand@gmail.com,,MA,75000,11980.0,16,2024-10-01
89,Haddad,Claire,clairehaddad@yahoo.com,,FR,31000,12987.0,17,
90,Diallo,Amine,amine.diallo@outlook.com,,TN,75000,13975.0,11,
91,Dupont,Amine,amine.dupont@yahoo.com,,TN,01300,10303.0,7,2024-10-01
92,Durand,Lucas,lucas.durand@gmail.com,,TN,31000,14002.0,8,
93,Diallo,Amine,amine.diallo@domain.com,,DZ,01300,10954.0,5,
94,Diallo,Karim,karim.diallo@yahoo.com,,MA,31000,13612.0,4,2024-10-01
95,Moreau,Paul,paul.moreauyahoo.com,,FR,75000,4572.0,9,
96,Benali,Lucas,lucas.benali@gmail.com,,DZ,01300,2191.0,10,
97,Nguyen,Amine,aminenguyen@gmail.com,,DZ,75000,6782.0,2,
98,Martin,Marie,marie.martin@gmail.com,,FR,16000,7602.0,7,
99,Benali,Marie,marie.benali@outlook.com,,FR,31000,6785.0,2,
100,Nguyen,Karim,karim.nguyen@outlook.com,,DZ,01300,14360.0,16,
101,Durand,Marie,marie.durandoutlook.com,,TN,01300,10516.0,3,
102,Martin,Lina,lina.martin@gmail.com,,DZ,16000,8424.0,18,
103,Petit,Paul,paul.petit@outlook.com,,FR,75000,5720.0,14,2024-10-01
104,Martin,Lucas,lucas.martin@gmail.com,,TN,75000,3171.0,12,2024-10-01
105,Martin,Awa,awa.martin@outlook.com,,MA,16000,8871.0,15,
107,Diallo,Lina,lina.diallo@outlook.com,,FR,75000,13206.0,10,
108,Benali,Lucas,lucas.benali@domain.com,,MA,16000,11766.0,10,
109,Petit,Claire,clairepetit@yahoo.com,,TN,16000,12988.0,3,
110,Dupont,Karim,karim.dupont@domain.com,,DZ,75000,8125.0,10,
111,Diallo,Sophie,sophie.diallo@yahoo.com,,MA,16000,7045.0,15,2024-10-01
112,Durand,Amine,aminedurandgmail.com,,FR,16000,9342.0,9,
113,Durand,Paul,paul.duranddomain.com,,DZ,31000,13812.0,17,2024-10-01
114,Haddad,Sophie,sophie.haddad@yahoo.com,,FR,16000,2996.0,13,
115,Dupont,Sophie,sophie.dupont@gmail.com,,DZ,16000,5978.0,20,
116,Haddad,Jean,jean.haddadyahoo.com,,FR,75000,12517.0,8,
117,Durand,Lucas,lucas.durand@domain.com,,TN,16000,11657.0,12,
118,Diallo,Sophie,sophiediallo@yahoo.com,,FR,01300,12205.0,8,
119,Benali,Amine,aminebenali@outlook.com,,DZ,75000,1601.0,18,
120,Nguyen,Awa,awa.nguyen@domain.com,,MA,75000,8295.0,2,
123,Martin,Amine,amine.martingmail.com,,MA,16000,8988.0,1,
124,Benali,Jean,jean.benali@gmail.com,,MA,31000,8463.0,6,
125,Leroy,Awa,awa.leroy@domain.com,,TN,75000,1317.0,0,
126,Petit,Marie,marie.petit@yahoo.com,,DZ,75000,4236.0,17,
127,Petit,Awa,awa.petit@outlook.com,,TN,75000,8802.0,5,2024-10-01
129,Diallo,Lucas,lucas.diallo@domain.com,,TN,01300,7825.0,11,
130,Martin,Karim,karimmartin@yahoo.com,,DZ,16000,7509.0,16,
132,Diallo,Awa,awa.diallo@outlook.com,,FR,31000,5132.0,13,2024-10-01
133,Leroy,Lucas,lucasleroy@gmail.com,,FR,01300,6278.0,17,
134,Benali,Jean,jean.benali@domain.com,,MA,31000,9121.0,5,
135,Benali,Lina,linabenali@outlook.com,,TN,16000,14058.0,8,
136,Benali,Karim,karim.benali@outlook.com,,MA,31000,12428.0,19,
137,Martin,Marie,marie.martin@yahoo.com,,DZ,31000,5944.0,6,2024-10-01
138,Moreau,Marie,marie.moreau@yahoo.com,,TN,75000,14954.0,9,
139,Durand,Awa,awa.durandoutlook.com,,MA,75000,12556.0,18,2024-10-01
140,Haddad,Awa,awa.haddad@gmail.com,,DZ,16000,6138.0,1,
141,Diallo,Lina,lina.diallo@gmail.com,,FR,16000,9511.0,8,
142,Dupont,Awa,awadupont@gmail.com,,TN,75000,6095.0,9,2024-10-01
143,Diallo,Sophie,sophie.dialloyahoo.com,,DZ,31000,11754.0,18,
144,Nguyen,Lucas,lucasnguyen@domain.com,,MA,01300,12982.0,13,
145,Leroy,Sophie,sophie.leroy@domain.com,,TN,31000,5890.0,16,2024-10-01
146,Nguyen,Amine,amine.nguyen@gmail.com,,FR,16000,2594.0,16,2024-10-01
147,Petit,Claire,claire.petit@domain.com,,MA,75000,4621.0,0,
149,Durand,Marie,marie.durand@gmail.com,,FR,31000,11336.0,9,
150,Haddad,Amine,amine.haddad@gmail.com,,DZ,16000,5439.0,19,2024-10-01
153,Leroy,Amine,amine.leroy@domain.com,,FR,31000,6217.0,19,
154,Haddad,Amine,aminehaddad@yahoo.com,,FR,01300,8058.0,2,2024-10-01
155,Dupont,Sophie,sophie.dupontgmail.com,,FR,75000,13852.0,0,
156,Dupont,Karim,karim.dupont@outlook.com,,DZ,75000,5830.0,1,
157,Leroy,Sophie,sophie.leroy@yahoo.com,,TN,75000,1814.0,5,
158,Martin,Amine,amine.martindomain.com,,FR,75000,11983.0,9,
159,Dupont,Lina,lina.dupont@gmail.com,,FR,75000,9187.0,3,
160,Petit,Marie,marie.petit@gmail.com,,DZ,75000,12806.0,19,2024-10-01
161,Haddad,Lucas,lucas.haddad@outlook.com,,FR,31000,1944.0,13,
163,Dupont,Awa,awa.dupont@yahoo.com,,FR,16000,5753.0,5,
164,Nguyen,Marie,marie.nguyen@domain.com,,DZ,75000,13810.0,14,2024-10-01
165,Durand,Marie,mariedurand@gmail.com,,DZ,01300,14259.0,11,
166,Benali,Awa,awa.benalioutlook.com,,DZ,75000,11885.0,9,
167,Nguyen,Lina,linanguyen@gmail.com,,DZ,75000,10814.0,16,2024-10-01
168,Durand,Amine,amine.durand@domain.com,,TN,31000,1312.0,11,
170,Nguyen,Marie,marie.nguyen@yahoo.com,,MA,75000,8880.0,0,2024-10-01
171,Benali,Sophie,sophie.benali@domain.com,,TN,01300,6516.0,2,
172,Benali,Awa,awa.benali@outlook.com,,FR,16000,12024.0,8,2024-10-01
174,Dupont,Amine,amine.dupont@domain.com,,DZ,31000,10859.0,5,
175,Durand,Lina,lina.durand@yahoo.com,,MA,16000,14442.0,15,2024-10-01
176,Dupont,Sophie,sophie.dupontdomain.com,,TN,01300,2888.0,18,
177,Haddad,Claire,claire.haddad@yahoo.com,,MA,75000,5602.0,11,
178,Petit,Claire,claire.petitoutlook.com,,DZ,75000,3962.0,1,
179,Nguyen,Lina,lina.nguyen@yahoo.com,,FR,16000,9336.0,12,2024-10-01
180,Martin,Claire,clairemartin@outlook.com,,DZ,31000,4820.0,16,2024-10-01
181,Moreau,Awa,awa.moreau@yahoo.com,,DZ,75000,6967.0,10,
183,Martin,Marie,marie.martin@domain.com,,TN,31000,11402.0,6,
184,Diallo,Karim,karim.diallo@outlook.com,,FR,75000,11962.0,2,
185,Petit,Awa,awa.petit@domain.com,,FR,16000,9570.0,13,2024-10-01
187,Petit,Karim,karim.petit@yahoo.com,,FR,75000,6626.0,11,
190,Nguyen,Lina,lina.nguyen@domain.com,,TN,75000,10065.0,17,
193,Haddad,Jean,jean.haddad@yahoo.com,,DZ,75000,14123.0,6,
194,Martin,Amine,aminemartin@yahoo.com,,FR,31000,2983.0,5,2024-10-01
195,Durand,Lina,lina.durand@outlook.com,,DZ,75000,9869.0,17,2024-10-01
196,Durand,Paul,pauldurand@outlook.com,,MA,31000,6085.0,11,
197,Petit,Paul,paul.petit@gmail.com,,FR,31000,6479.0,6,
198,Durand,Lina,lina.durand@gmail.com,,TN,16000,6172.0,6,
199,Moreau,Jean,jeanmoreau@gmail.com,,MA,01300,11030.0,18,
200,Diallo,Awa,awa.diallo@domain.com,,MA,16000,12172.0,6,
201,Martin,Sophie,sophie.martin@domain.com,,FR,75000,6159.0,16,2024-10-01
203,Leroy,Paul,paulleroy@gmail.com,,MA,75000,11090.0,4,2024-10-01
204,Dupont,Amine,aminedupont@domain.com,,FR,16000,1071.0,4,2024-10-01
206,Benali,Karim,karim.benali@gmail.com,,FR,31000,6694.0,2,
207,Diallo,Amine,amine.diallo@gmail.com,,FR,01300,11782.0,7,
208,Benali,Amine,amine.benaliyahoo.com,,TN,16000,6595.0,18,
209,Benali,Paul,paul.benali@domain.com,,TN,31000,8884.0,7,2024-10-01
210,Dupont,Amine,amine.dupont@outlook.com,,DZ,01300,4094.0,9,
211,Martin,Paul,paul.martindomain.com,,MA,31000,11461.0,0,
212,Petit,Awa,awapetit@gmail.com,,DZ,31000,1052.0,3,
213,Benali,Marie,marie.benali@domain.com,,FR,31000,9930.0,1,
214,Durand,Sophie,sophiedurand@outlook.com,,DZ,75000,11413.0,6,
215,Leroy,Marie,marie.leroy@yahoo.com,,DZ,31000,9604.0,19,
218,Martin,Lina,lina.martin@domain.com,,FR,16000,1271.0,19,
219,Diallo,Jean,jean.diallo@yahoo.com,,FR,16000,8725.0,12,
220,Leroy,Claire,claire.leroy@outlook.com,,MA,75000,2133.0,7,
221,Nguyen,Claire,claire.nguyen@domain.com,,MA,31000,5780.0,0,2024-10-01
223,Moreau,Lucas,lucas.moreau@outlook.com,,FR,31000,4968.0,11,2024-10-01
224,Moreau,Claire,claire.moreau@domain.com,,FR,16000,2106.0,17,2024-10-01
225,Diallo,Lucas,lucas.diallo@gmail.com,,MA,31000,13964.0,1,
226,Martin,Claire,claire.martingmail.com,,DZ,01300,10089.0,19,2024-10-01
227,Benali,Lina,lina.benali@yahoo.com,,MA,31000,10238.0,7,
228,Moreau,Sophie,sophie.moreau@gmail.com,,TN,01300,7677.0,4,2024-10-01
229,Durand,Sophie,sophiedurand@gmail.com,,MA,16000,8286.0,1,
230,Petit,Claire,claire.petit@outlook.com,,TN,16000,12915.0,7,
232,Petit,Amine,amine.petit@outlook.com,,DZ,75000,8360.0,0,
233,Dupont,Claire,claire.dupont@gmail.com,,DZ,75000,5871.0,4,
234,Nguyen,Karim,karimnguyen@gmail.com,,TN,75000,14882.0,17,
235,Petit,Jean,jeanpetit@gmail.com,,TN,31000,11173.0,12,
236,Leroy,Jean,jean.leroy@domain.com,,DZ,75000,11669.0,15,
237,Haddad,Karim,karim.haddad@outlook.com,,FR,75000,13181.0,13,
238,Diallo,Karim,karimdiallo@yahoo.com,,TN,16000,13380.0,18,2024-10-01
239,Petit,Jean,jean.petit@gmail.com,,DZ,75000,4561.0,5,
240,Martin,Sophie,sophie.martin@outlook.com,,FR,75000,9461.0,1,2024-10-01
241,Haddad,Karim,karim.haddad@gmail.com,,MA,75000,11453.0,10,
243,Haddad,Sophie,sophiehaddad@outlook.com,,FR,75000,2439.0,1,
244,Martin,Claire,claire.martin@gmail.com,,MA,75000,8794.0,18,
245,Nguyen,Awa,awanguyen@domain.com,,DZ,16000,8794.0,16,
248,Dupont,Jean,jeandupont@outlook.com,,FR,16000,4912.0,7,2024-10-01
249,Dupont,Lina,lina.dupont@yahoo.com,,FR,16000,7288.0,10,
250,Diallo,Jean,jeandiallo@yahoo.com,,DZ,31000,11464.0,1,
254,Moreau,Paul,paul.moreaudomain.com,,FR,75000,13537.0,12,
255,Durand,Jean,jean.durand@gmail.com,,FR,01300,5454.0,15,
258,Martin,Lucas,lucas.martin@yahoo.com,,FR,75000,8295.0,7,2024-10-01
259,Nguyen,Lina,linanguyen@yahoo.com,,FR,16000,6698.0,1,
262,Moreau,Paul,paul.moreau@outlook.com,,TN,16000,7329.0,14,2024-10-01
263,Martin,Sophie,sophie.martindomain.com,,FR,01300,4580.0,0,
264,Diallo,Karim,karim.diallo@domain.com,,FR,31000,1504.0,20,2024-10-01
265,Haddad,Marie,marie.haddad@gmail.com,,TN,31000,8678.0,5,
266,Dupont,Lucas,lucas.dupont@domain.com,,FR,31000,12766.0,19,2024-10-01
268,Leroy,Paul,paul.leroy@outlook.com,,MA,16000,2531.0,9,
270,Martin,Sophie,sophie.martin@gmail.com,,FR,01300,12819.0,3,
271,Haddad,Jean,jean.haddad@domain.com,,FR,01300,1069.0,16,
272,Durand,Karim,karim.durand@gmail.com,,FR,31000,3154.0,14,
273,Dupont,Marie,marie.dupont@outlook.com,,TN,16000,7328.0,20,2024-10-01
275,Moreau,Paul,paul.moreau@yahoo.com,,TN,75000,8184.0,15,
277,Petit,Lina,lina.petit@outlook.com,,FR,16000,9313.0,15,2024-10-01
279,Petit,Paul,paul.petit@yahoo.com,,FR,75000,14163.0,15,
281,Petit,Lina,lina.petit@domain.com,,MA,31000,8047.0,12,
282,Moreau,Karim,karim.moreau@domain.com,,DZ,31000,14070.0,9,
283,Martin,Jean,jeanmartin@domain.com,,DZ,16000,7997.0,12,2024-10-01
284,Nguyen,Paul,paul.nguyen@gmail.com,,MA,75000,14818.0,6,
285,Leroy,Amine,amine.leroy@outlook.com,,TN,75000,2306.0,6,
287,Moreau,Paul,paul.moreau@domain.com,,FR,16000,14155.0,18,
288,Benali,Sophie,sophiebenali@outlook.com,,FR,75000,8553.0,16,2024-10-01
289,Petit,Lucas,lucaspetit@yahoo.com,,DZ,31000,14931.0,13,2024-10-01
298,Benali,Amine,amine.benali@yahoo.com,,TN,75000,6158.0,8,
300,Diallo,Paul,paul.diallo@outlook.com,,DZ,01300,1472.0,8,2024-10-01
301,Nguyen,Claire,clairenguyenoutlook.com,,FR,16000,6587.0,9,
302,Moreau,Jean,jean.moreau@domain.com,,MA,16000,10702.0,15,2024-10-01
303,Haddad,Sophie,sophiehaddad@yahoo.com,,MA,01300,5450.0,3,
305,Benali,Lina,lina.benali@domain.com,,FR,75000,4122.0,4,
306,Moreau,Marie,mariemoreau@yahoo.com,,FR,01300,10376.0,2,
307,Nguyen,Paul,paulnguyen@yahoo.com,,MA,75000,6121.0,15,
308,Nguyen,Paul,paul.nguyen@yahoo.com,,DZ,31000,13467.0,17,
309,Martin,Amine,amine.martin@gmail.com,,MA,31000,11929.0,18,
311,Benali,Lucas,lucas.benali@yahoo.com,,FR,75000,13818.0,14,
314,Dupont,Lucas,lucas.dupont@yahoo.com,,TN,75000,14376.0,0,
315,Diallo,Awa,awa.diallodomain.com,,MA,75000,1084.0,20,
316,Petit,Jean,jean.petit@domain.com,,FR,16000,6188.0,8,
317,Haddad,Awa,awahaddad@domain.com,,MA,75000,6587.0,13,
318,Diallo,Sophie,sophiediallo@outlook.com,,DZ,16000,9968.0,19,
319,Leroy,Karim,karim.leroy@gmail.com,,FR,31000,14486.0,20,
320,Diallo,Paul,pauldiallo@yahoo.com,,MA,01300,7589.0,12,
321,Martin,Claire,claire.martin@outlook.com,,FR,75000,7361.0,12,
322,Durand,Amine,amine.durand@outlook.com,,DZ,75000,10221.0,0,
323,Nguyen,Paul,paulnguyen@outlook.com,,FR,75000,14845.0,4,
325,Nguyen,Lucas,lucasnguyen@yahoo.com,,MA,75000,10367.0,7,
326,Leroy,Awa,awaleroy@outlook.com,,DZ,75000,8073.0,3,
327,Dupont,Paul,paul.dupont@gmail.com,,FR,16000,13217.0,12,
330,Nguyen,Sophie,sophienguyen@gmail.com,,MA,01300,7401.0,17,2024-10-01
331,Petit,Sophie,sophie.petit@gmail.com,,MA,31000,4799.0,5,
332,Martin,Karim,karim.martin@gmail.com,,TN,16000,8728.0,2,2024-10-01
333,Benali,Amine,amine.benali@gmail.com,,DZ,16000,4367.0,11,
334,Diallo,Marie,marie.diallo@yahoo.com,,DZ,01300,10131.0,5,
335,Moreau,Karim,karim.moreau@yahoo.com,,TN,16000,10057.0,14,
338,Petit,Sophie,sophie.petit@yahoo.com,,FR,75000,11253.0,1,2024-10-01
340,Nguyen,Lina,lina.nguyen@outlook.com,,DZ,01300,3436.0,12,
342,Petit,Jean,jean.petit@outlook.com,,DZ,16000,8355.0,16,
343,Diallo,Sophie,sophiediallo@domain.com,,DZ,01300,2184.0,5,
344,Haddad,Karim,karim.haddad@domain.com,,FR,01300,9492.0,15,2024-10-01
346,Haddad,Lucas,lucashaddad@yahoo.com,,FR,31000,12604.0,17,
347,Moreau,Claire,claire.moreau@outlook.com,,MA,01300,7853.0,8,
348,Diallo,Sophie,sophie.diallo@domain.com,,DZ,01300,14340.0,10,
350,Dupont,Lucas,lucasdupontdomain.com,,MA,75000,14725.0,12,
352,Durand,Marie,mariedurandoutlook.com,,DZ,75000,14629.0,14,2024-10-01
353,Benali,Jean,jean.benali@yahoo.com,,DZ,31000,13148.0,1,
355,Leroy,Lucas,lucasleroy@domain.com,,FR,75000,11431.0,12,2024-10-01
359,Petit,Marie,marie.petitdomain.com,,TN,16000,3280.0,20,
362,Moreau,Claire,clairemoreauoutlook.com,,FR,16000,1095.0,12,2024-10-01
363,Dupont,Claire,clairedupont@domain.com,,MA,75000,9306.0,2,
364,Haddad,Karim,karimhaddad@gmail.com,,FR,75000,5922.0,13,2024-10-01
365,Moreau,Lina,lina.moreau@domain.com,,FR,01300,3058.0,14,2024-10-01
366,Leroy,Lina,lina.leroydomain.com,,DZ,75000,6223.0,5,
368,Dupont,Paul,pauldupont@outlook.com,,TN,16000,11314.0,2,
370,Nguyen,Sophie,sophie.nguyenoutlook.com,,DZ,16000,11404.0,4,
372,Diallo,Lucas,lucas.diallo@outlook.com,,FR,75000,11261.0,6,
377,Moreau,Karim,karim.moreau@outlook.com,,FR,31000,9277.0,14,
379,Leroy,Jean,jean.leroy@outlook.com,,MA,01300,6842.0,3,2024-10-01
382,Nguyen,Lucas,lucasnguyen@outlook.com,,FR,16000,1723.0,9,2024-10-01
383,Durand,Awa,awa.durand@gmail.com,,MA,75000,8193.0,13,2024-10-01
384,Martin,Claire,claire.martinoutlook.com,,FR,01300,7687.0,16,
385,Durand,Jean,jean.durand@domain.com,,TN,75000,2346.0,16,2024-10-01
386,Leroy,Claire,claire.leroy@domain.com,,MA,31000,2980.0,17,2024-10-01
387,Leroy,Marie,marie.leroy@outlook.com,,TN,31000,8368.0,5,
389,Diallo,Claire,claire.diallo@yahoo.com,,TN,01300,9694.0,13,
391,Benali,Sophie,sophie.benali@yahoo.com,,MA,16000,6805.0,0,2024-10-01
392,Benali,Claire,claire.benali@gmail.com,,MA,01300,4962.0,4,2024-10-01
394,Haddad,Sophie,sophie.haddadgmail.com,,DZ,75000,11022.0,9,2024-10-01
395,Moreau,Sophie,sophie.moreau@outlook.com,,FR,01300,13362.0,9,
396,Nguyen,Sophie,sophie.nguyen@outlook.com,,FR,16000,9377.0,8,
399,Diallo,Claire,claire.diallo@gmail.com,,MA,75000,9874.0,15,
400,Durand,Lina,lina.durand@domain.com,,MA,16000,14888.0,8,
401,Martin,Awa,awamartin@yahoo.com,,MA,75000,8264.0,6,2024-10-01
402,Dupont,Paul,paul.dupont@outlook.com,,FR,31000,4890.0,12,
408,Haddad,Claire,claire.haddad@outlook.com,,FR,31000,12255.0,16,
409,Haddad,Sophie,sophie.haddad@outlook.com,,DZ,75000,2733.0,2,
410,Haddad,Lina,lina.haddad@domain.com,,TN,75000,5855.0,10,2024-10-01
411,Martin,Sophie,sophiemartin@yahoo.com,,FR,16000,2229.0,5,
412,Diallo,Amine,aminediallodomain.com,,TN,31000,6875.0,7,
413,Moreau,Jean,jeanmoreauyahoo.com,,MA,31000,14728.0,5,2024-10-01
415,Nguyen,Claire,claire.nguyen@outlook.com,,DZ,75000,2618.0,6,
416,Dupont,Jean,jean.dupont@gmail.com,,FR,31000,4797.0,6,
417,Dupont,Paul,paul.dupontoutlook.com,,DZ,31000,12353.0,17,
419,Moreau,Lucas,lucas.moreau@gmail.com,,MA,75000,10610.0,0,2024-10-01
420,Petit,Amine,amine.petit@domain.com,,MA,31000,7959.0,5,
421,Martin,Lina,linamartin@domain.com,,MA,31000,5011.0,7,
422,Petit,Marie,marie.petit@outlook.com,,DZ,31000,8174.0,20,
423,Martin,Amine,amine.martin@yahoo.com,,FR,16000,13522.0,4,2024-10-01
424,Petit,Karim,karim.petit@domain.com,,MA,75000,7179.0,11,
431,Haddad,Jean,jeanhaddad@domain.com,,FR,16000,12250.0,2,
432,Martin,Karim,karim.martin@outlook.com,,MA,01300,3503.0,13,
433,Petit,Paul,paul.petityahoo.com,,FR,31000,4559.0,6,
436,Moreau,Paul,paulmoreau@outlook.com,,MA,75000,14178.0,10,2024-10-01
437,Leroy,Claire,claire.leroy@gmail.com,,DZ,01300,5745.0,5,2024-10-01
438,Benali,Claire,claire.benali@outlook.com,,MA,31000,1633.0,16,
439,Diallo,Amine,amine.diallo@yahoo.com,,MA,31000,11166.0,7,2024-10-01
444,Leroy,Sophie,sophieleroy@domain.com,,FR,75000,6560.0,2,
446,Petit,Amine,amine.petitgmail.com,,DZ,75000,13935.0,14,2024-10-01
448,Diallo,Jean,jeandiallo@domain.com,,DZ,31000,13539.0,11,2024-10-01
449,Nguyen,Lucas,lucas.nguyen@outlook.com,,MA,31000,6060.0,0,2024-10-01
451,Haddad,Lina,lina.haddad@yahoo.com,,FR,16000,9313.0,0,
453,Dupont,Lucas,lucas.dupont@gmail.com,,DZ,75000,4235.0,5,2024-10-01
455,Diallo,Lina,lina.diallo@yahoo.com,,DZ,75000,2209.0,13,2024-10-01
